N,Time(ms.)
0,0.00052
2,6.99E-04
4,0.0018
6,0.008699
8,0.038
10,0.1166
12,0.296399
14,0.6932
16,0.2384
18,0.391499
20,0.6847
22,1.0659
24,0.278401
26,0.1527
28,0.1831
30,0.227601
32,0.280001
34,0.3432
36,0.4189
38,0.4499
40,0.5379
42,0.6559
44,0.8003
46,0.9623
48,1.150599
50,1.366601
52,1.6101
54,1.8997
56,2.217499
58,2.563501
60,2.9771
62,3.4261
64,3.899601
66,4.4625
68,5.079201
70,5.7714
72,6.504299
74,7.3509
76,8.268599
78,9.293
80,10.4628
82,11.6263
84,13.3689
86,14.292899
88,16.054599
90,17.624999
92,19.517901
94,22.110901
96,26.3205
98,25.8961
